nr_pokolenia najlepszy_fitness sredni_fitness najgorszy_fitness
367 16,79 15,28 13,13
368 16,79 13,91 10,36
369 16,79 12,67 9,46
370 16,79 12,87 9,15
371 16,79 13,54 11,07
372 16,79 15,06 11,90
373 16,79 12,60 8,39
374 15,80 12,62 9,55
375 16,47 13,29 8,39
376 15,97 13,95 11,72
377 16,58 14,27 10,74
378 16,41 13,21 9,08
379 16,54 12,59 9,28
380 16,77 11,33 8,13
381 16,85 12,19 9,22
382 16,85 13,43 9,20
383 16,85 13,74 9,28
384 16,85 12,19 9,25
385 16,85 12,02 9,55
386 16,85 12,34 10,56
387 16,85 12,27 8,23
388 16,85 13,02 9,33
389 16,85 14,12 11,00
390 16,85 12,42 8,93
391 16,85 11,34 8,63
392 16,85 11,56 7,87
393 16,85 11,17 8,14
394 15,62 10,70 8,02
395 15,65 10,55 7,52
396 16,29 10,11 7,69
397 16,71 8,99 7,42
398 16,85 14,01 9,01
399 16,85 12,37 6,65
400 16,85 14,20 8,89
401 16,85 15,29 11,33
402 16,85 14,75 11,82
403 16,85 15,31 11,24
404 16,85 14,41 10,76
405 16,85 14,41 11,77
406 16,85 12,74 10,20
407 16,85 12,78 10,81
408 16,85 13,54 11,68
409 16,85 14,85 12,03
410 16,85 14,90 11,34
411 16,85 14,42 11,77
412 16,85 14,12 10,24
413 16,85 13,97 9,11
414 16,85 13,56 9,00
415 16,85 14,73 10,75
416 16,85 15,62 14,08
417 16,85 15,00 12,78
418 16,85 14,13 12,10
419 16,85 14,43 12,83
420 16,85 13,79 10,86
421 15,62 13,00 9,36
422 15,33 11,06 8,61
423 16,13 12,66 9,06
424 16,85 13,04 11,33
425 16,85 13,58 10,94
426 16,85 14,52 10,67
427 16,85 15,57 12,22
428 16,85 14,99 11,39
429 16,85 15,72 11,68
430 16,85 15,99 14,18
431 16,85 14,66 12,20
432 16,85 12,72 9,60
433 16,85 13,25 9,79
434 16,85 13,30 10,98
435 16,85 13,80 11,05
436 16,85 13,19 10,05
437 16,85 11,56 9,01
438 16,85 11,72 8,65
439 16,57 12,00 10,07
440 16,85 13,55 10,23
441 16,85 12,78 7,90
442 16,85 11,25 7,77
443 16,85 14,16 10,41
444 16,85 13,77 10,59
445 16,85 13,37 10,06
446 16,85 12,34 10,48
447 16,85 12,43 10,76
448 16,85 13,32 10,40
449 16,85 12,55 9,75
450 16,85 14,03 10,63
451 16,85 13,80 9,35
452 16,85 14,20 11,08
453 16,85 15,11 11,34
454 16,88 14,00 10,95
455 16,91 15,45 11,03
456 16,91 15,86 11,47
457 16,91 15,09 11,06
458 16,91 13,86 11,75
459 16,91 14,22 9,27
460 16,91 13,31 9,44
461 16,91 12,69 9,22
462 16,91 13,40 8,05
463 16,91 14,41 9,72
464 16,91 10,44 9,34
465 16,26 10,53 8,03
466 16,26 11,63 9,00
467 16,53 14,27 10,77
468 16,53 13,16 10,52
469 16,91 13,18 10,43
470 16,91 16,44 15,59
471 16,91 15,68 13,53
472 16,91 15,32 12,24
473 16,91 14,81 11,12
474 16,91 12,74 10,85
475 16,91 14,24 11,24
476 16,91 13,70 9,69
477 16,91 13,14 10,48
478 16,91 15,40 11,22
479 16,91 12,75 10,83
480 16,91 13,01 10,82
481 16,91 13,62 10,28
482 16,91 16,35 15,12
483 16,91 14,67 10,35
484 16,91 15,72 14,30
485 16,91 15,07 13,89
486 16,91 14,03 9,46
487 16,91 11,84 9,45
488 16,63 11,97 8,68
489 16,64 10,56 8,04
490 16,91 11,17 8,08
491 16,91 12,20 8,27
492 16,91 11,73 8,50
